Заказчик,Область,Адрес,Код,Дата готовности,цена,Дата оплаты *,profit,Вид работ,№
"ООО ""ИНТЕРТЕЛЕКОМ""",Дніпропетрівська,"м. Дніпропетровськ, вул. Радгоспна, 42 ВТ",04075,11.11.2015,1560,24.11.2015,350,отчет,
"ООО ""ИНТЕРТЕЛЕКОМ""", Харківська ,"Харківська обл., м. Чугуїв, вул. Мічуріна, 8",21009,09.12.2015,1560,17.12.2015,350,отчет,
"ООО ""ИНТЕРТЕЛЕКОМ""", Харківська ,"Харьківська обл., Барвінківський р-н, м.Барвінкове, вул Першотравнева, 6",21151,09.12.2015,1560,09.12.2015,350,отчет,
"ООО ""ИНТЕРТЕЛЕКОМ""",Київ,"м. Київ, вул. Північна, 3",11008,07.12.2015,1560,13.01.2016,350,отчет,
"ООО ""ИНТЕРТЕЛЕКОМ""",Київ,"м. Київ, вул. Соломянська, 3",11032,07.12.2015,1560,13.01.2016,350,отчет,
"ООО ""ИНТЕРТЕЛЕКОМ""",Київ,"м. Київ, вул. Білецького, 34, на даху",11037,07.12.2015,1560,13.01.2016,350,отчет,
"ООО ""ИНТЕРТЕЛЕКОМ""",Київ,"г. Киев, Пуща-Водица, 14-линия (ІТК)",11080,07.12.2015,1560,13.01.2016,350,отчет,
"ООО ""ИНТЕРТЕЛЕКОМ""",Сумська,"м.Конотоп, 2пров.вул.Вирівська,2,ТЦ ""Парус""",19029,25.12.2015,1560,26.01.2016,350,отчет,
"ООО ""ИНТЕРТЕЛЕКОМ""", Харківська ,"м. Харків, пр. Людвіка Свободи, 53-А",21029,21.01.2016,1560,01.02.2016,350,отчет,
"ООО ""ИНТЕРТЕЛЕКОМ""",Дніпропетрівська,"м. Дніпропетровськ, вул. Ленінградська, 68",04074,21.01.2016,1560,05.02.2016,350,отчет,
"ООО ""ИНТЕРТЕЛЕКОМ""",Дніпропетрівська,"м.Дніпропетрівськ , вул   Чичеріна, 21",04013,05.02.2016,2385,18.02.2016,350,отчет,
"ООО ""ИНТЕРТЕЛЕКОМ""",Дніпропетрівська,"м. Дніпропетровськ, вул. Будьоного, 31",04090,05.02.2016,2385,18.02.2016,350,отчет,
"ООО ""ИНТЕРТЕЛЕКОМ""", Харківська ,21071 г. Волчанск. пл. Привокзальная.11,21071,10.02.2016,2385,10.03.2016,350,отчет,
"ООО ""ИНТЕРТЕЛЕКОМ""",Дніпропетрівська,"м. Дніпропетровськ, вул. Журналістів, 7, на даху",04018,15.02.2016,2385,10.03.2016,350,отчет,
"ООО ""ИНТЕРТЕЛЕКОМ""",Дніпропетрівська,"Дніпропетровський р-н, с-ще Дослідне, вул. Наукова, 1",04050,15.02.2016,2385,10.03.2016,350,отчет,
"ООО ""ИНТЕРТЕЛЕКОМ""",Чернігівська,"Чернігівська обл.смт. Срибне ул.Калинина,4",25050,24.02.2016,2385,18.03.2016,350,отчет,
"ООО ""ИНТЕРТЕЛЕКОМ""",Чернігівська,"Чернігівська обл. смт.Варва, вул. Миру,2",25054,24.02.2016,2385,18.03.2016,350,отчет,
"ООО ""ИНТЕРТЕЛЕКОМ""",Черкаська,"Черкаси, Фрунзе, 1",24052,03.03.2016,2385,24.03.2016,350,отчет,
"ООО ""ИНТЕРТЕЛЕКОМ""",Полтавська,"м. Полтава, пров. Волочайовський,2А",17035,15.03.2015,2385,28.03.2016,350,отчет,
"ООО ""ИНТЕРТЕЛЕКОМ""",Запорізька,"08011 м. Запоріжжя, вул. Рекордна,31а",08011,28.03.2016,2385,08.04.2015,350,отчет,
"ООО ""ИНТЕРТЕЛЕКОМ""",Запорізька,08022 Мелітопольський р-н. смт. Приазовське,08022,31.03.2016,2385,08.04.2015,350,отчет,
"ООО ""ИНТЕРТЕЛЕКОМ""",Запорізька,"м. Мелітополь, вул. Гагаріна, буд. 2",08051,28.03.2016,2385,18.04.2015,350,отчет,
"ООО ""ИНТЕРТЕЛЕКОМ""",Запорізька,"м. Запоріжжя, вул. Жасмінна, 5",08065,31.03.2016,2385,18.04.2015,350,отчет,
"ООО ""ИНТЕРТЕЛЕКОМ""",Полтавська,"м. Хорол, вул. Леніна, 15",17033,07.04.2016,2385,25.04.2015,350,отчет,
"ООО ""ИНТЕРТЕЛЕКОМ""",Полтавська,"м. Полтава, пров. Волочайовський,2А",17035,07.06.2016,2385,30.05.2016,350,ПУ,
"ООО ""ИНТЕРТЕЛЕКОМ""",Кіровоградська,"м. Кіровоград, вул. Бєляєва, 2",12010,14.04.2016,2385,16.05.2015,350,отчет,
"ООО ""АТМАКОМ""",Івано-Франківська,"Косівський р-н, с. Космач (щогла Н=42м)",UF0847,04.07.2016,1950,03.10.2016,350,отчет,
"ООО ""АТМАКОМ""",Івано-Франківська,"Надвіряиський р-н, с. Чорний Потік, ур. ""Остапів верх"" (щогла Н=36м)",UF0950,04.07.2016,1950,03.10.2016,350,отчет,
"ООО ""АТМАКОМ""",Івано-Франківська,"Косівський р-н, с. Брустури (щогла Н=36м)",UF1907,04.07.2016,1950,03.10.2016,350,отчет,
"ООО ""АТМАКОМ""",Івано-Франківська,"смт. Рожнятів, вул. Миру, 4 (щогла Н=30м)",UF0834,04.07.2016,1950,03.10.2016,350,отчет,
"ООО ""АТМАКОМ""",Івано-Франківська,"Калуський р-н, с. Голинь (залізобетона опора з насадкою (щогла) Н=30,8м)",UF0931,04.07.2016,1950,03.10.2016,350,отчет,
"ООО ""АТМАКОМ""",Івано-Франківська,"смт. Рожнятів, пл. Єдності (щогла Н=І2м на будівлі)",UF0934,04.07.2016,1950,03.10.2016,350,отчет,
"ООО ""АТМАКОМ""",Івано-Франківська,"Рожнятівський р-н, с. Грабів;",UF0965 ,10.07.2016,1950,19.08.2016,350,отчет,
"ООО ""АТМАКОМ""",Івано-Франківська,"Рожнятівський р-н, с. Брошнів-Осада;",UF1951 ,10.07.2016,1950,19.08.2016,350,отчет,
"ООО ""АТМАКОМ""",Івано-Франківська,"Верховинський р-н, с. Красник;",UF0798,10.07.2016,1950,19.08.2016,350,отчет,
"ООО ""АТМАКОМ""",Івано-Франківська,"Рожнятівський р-н, с. Верхній Струтинь;",UF0984,10.07.2016,1950,19.08.2016,350,отчет,
"ООО ""АТМАКОМ""",Івано-Франківська,"Рожнятівський р-н, смт. Перегінське.",UF0935,10.07.2016,1950,19.08.2016,350,отчет,
"ООО ""АТМАКОМ""",Івано-Франківська,"Івано-Франківська область, Богородчанський р-н, с. Росільна",UF0735,25.07.2016,1950,16.12.2016,350,отчет,
"ООО ""АТМАКОМ""",Івано-Франківська,"Івано-Франківська область, Борогодчанський р-н, смт. Солотвин, вул. Черемшини, 2",UF0963,25.07.2016,1950,16.12.2016,350,отчет,
"ООО ""АТМАКОМ""",Івано-Франківська,"Івано-Франківська область, Борогодчанський р-н, с. Дзвиняч, вул. Спортивна, 32",UF0976,25.07.2016,1950,16.12.2016,350,отчет,
"ООО ""АТМАКОМ""",Івано-Франківська,"Івано-Франківська обл., Верховинський район, с.Красник, урочище «Кошарище»,",UF1836,03.07.2016,1950,05.09.2016,350,отчет,
"ООО ""АТМАКОМ""",Івано-Франківська,"Івано-Франківська обл., Косівський р-н, с. Химчин",UF1857,03.07.2016,1950,05.09.2016,350,отчет,
"ООО ""АТМАКОМ""",Івано-Франківська," Івано-Франківська обл.,  Богородчанський р-н, с. Глибівка, вул. Гагаріна, ",UF0876,03.07.2016,1950,05.09.2016,350,отчет,
"ООО ""АТМАКОМ""",Херсонська,"м.Херсон, 5км Миколаївського шосе, видавництво «Наддніпрянська правда»
",ODE HER NPZ,18.08.2016,1950,16.12.2016,350,отчет,
"ООО ""АТМАКОМ""",Херсонська,"Одеська обл., Розділянський р-н, м. Роздільна,     вул. 40 років Перемоги. 18",ODE RAZ POB,18.08.2016,1950,16.12.2016,350,отчет,
